fileName,folderName,tableName,landingToStagingNotebook,stagingToCoreNotebook
us.csv,uscase,us,landing,core
United_States_COVID-19_Cases_and_Deaths_by_State_over_Time.csv,caseData,usCases,caseDataToDatabase,core
